side,qty,rate,time
2,0.4,131529480,2025-01-17 02:08:03.581
2,0.4,130265590,2025-01-17 02:08:03.226
2,0.1,129711820,2025-01-17 01:56:36.205
2,0.1,129585580,2025-01-17 01:56:35.944
2,0.1,129459340,2025-01-17 01:56:35.591
2,0.1,129333100,2025-01-17 01:56:35.316
2,0.1,129206860,2025-01-17 01:56:35.025
2,0.1,129080620,2025-01-17 01:56:34.738
2,0.4,129001710,2025-01-17 02:08:02.834
2,0.1,128954380,2025-01-17 01:56:34.442
2,0.1,128828140,2025-01-17 01:56:34.200
2,0.4,127737820,2025-01-17 02:08:02.463
1,0.4,125039080,2025-01-17 02:08:01.002
1,0.4,123775190,2025-01-17 02:08:01.489
1,0.1,123651680,2025-01-17 01:56:31.695
1,0.1,123525440,2025-01-17 01:56:32.031
1,0.1,123399200,2025-01-17 01:56:32.309
1,0.1,123272960,2025-01-17 01:56:32.547
1,0.1,123146720,2025-01-17 01:56:32.857
1,0.1,123020480,2025-01-17 01:56:33.088
1,0.1,122894240,2025-01-17 01:56:33.313
1,0.1,122768000,2025-01-17 01:56:33.676
1,0.4,122511310,2025-01-17 02:08:01.817
1,0.4,121247420,2025-01-17 02:08:02.090
