side,qty,rate,time
2,15.0,11814360,2025-03-10 01:26:16.977
2,15.0,11706160,2025-03-10 01:26:16.599
2,10.0,11646720,2025-03-10 01:56:55.110
2,15.0,11597960,2025-03-10 01:26:16.252
2,10.0,11592640,2025-03-10 01:56:54.249
2,10.0,11538570,2025-03-10 01:56:53.533
2,15.0,11489760,2025-03-10 01:26:15.891
2,10.0,11484490,2025-03-10 01:56:52.505
2,10.0,11430410,2025-03-10 01:56:51.828
2,15.0,11381550,2025-03-10 01:26:15.588
2,10.0,11376330,2025-03-10 01:56:51.203
2,250.0,11134930,2025-03-10 01:59:32.045
1,0.4,10567960,2025-03-10 01:51:33.625
1,0.4,10557150,2025-03-10 01:51:33.941
1,300.0,10486290,2025-03-10 01:59:31.418
1,15.0,10275730,2025-03-10 01:14:15.863
1,15.0,10167280,2025-03-10 01:14:16.213
1,15.0,10058830,2025-03-10 01:14:16.455
1,15.0,9950390,2025-03-10 01:14:16.743
1,15.0,9841940,2025-03-10 01:14:17.062
