id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-07-17 02:32:36,[3],0.49,False,356,21588,161,1.2.0+86c25ac5d,781918,0.008833966
big.decred.energy,mainnet,2022-05-01,2023-07-17 02:32:36,[3],0.49,False,223,3042,16,1.2.0,781918,0.005533636000000001
dcrhive.com,mainnet,2022-06-23,2023-07-17 02:32:36,[3],0.1,False,1850,7254,20,1.2.1+ee0a6fa5b,781918,0.045906845
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-07-17 02:32:36,[3],0.9500000000000001,False,195,9058,52,1.2.0+86c25ac5d,781918,0.00483883
decredvoting.com,mainnet,2021-02-01,2023-07-17 02:32:36,[3],1,False,148,4136,27,1.2.0,781918,0.0036725476
stakey.net,mainnet,2020-10-22,2023-07-17 02:32:36,[3],1,False,413,28273,204,1.2.1+dc5819e2d,781918,0.010248393000000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-07-17 02:32:36,[3],0.6900000000000001,False,313,17587,206,1.2.0+86c25ac5d,1170201,0.06309212
teststakepool.decred.org,testnet,2020-06-01,2023-07-17 02:32:36,[3],3,False,0,213765,1032,1.3.0-pre+de79ce74b,1170201,0
ultravsp.uk,mainnet,2020-12-01,2023-07-17 02:32:36,[3],0.30000000000000004,False,342,11488,60,1.2.1+ee0a6fa5b,781918,0.008486563
vsp.coinmine.pl,mainnet,2021-01-28,2023-07-17 02:32:36,[3],0.5,False,180,28130,172,1.2.0-pre+a06a62bfd,781918,0.004466612
vsp.dcr.farm,mainnet,2020-12-09,2023-07-17 02:32:36,[3],0.9500000000000001,False,95,6652,41,1.2.1,781918,0.0023573786
vsp.decredcommunity.org,mainnet,2020-11-05,2023-07-17 02:32:36,[3],0.49,False,460,8878,40,1.2.1+ee0a6fa5b,781918,0.011414675
vsp.stakeminer.com,mainnet,2020-11-09,2023-07-17 02:32:36,[3],1,False,397,25349,149,1.2.0+1c02ba8b9,781918,0.009851361000000001
vspd.99split.com,mainnet,2020-11-17,2023-07-17 02:32:36,[3],0.30000000000000004,False,938,23172,113,1.2.1+ee0a6fa5b,781918,0.023276012000000002
vspd.bass.cf,mainnet,2022-05-01,2023-07-17 02:32:36,[3],0.2,False,559,9431,90,1.2.0,781918,0.013871312
vspd.decredbrasil.com,mainnet,2020-11-22,2023-07-17 02:32:36,[3],5,False,72,2401,19,1.2.1+ee0a6fa5b,781918,0.0017866448
