id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-07-11 02:17:21,[3],0.49,False,340,21524,160,1.2.0+86c25ac5d,780154,0.008293695
big.decred.energy,mainnet,2022-05-01,2023-07-11 02:17:21,[3],0.49,False,241,2995,15,1.2.0,780154,0.0058787656
dcrhive.com,mainnet,2022-06-23,2023-07-11 02:17:21,[3],0.1,False,1826,6876,19,1.2.1+ee0a6fa5b,780154,0.04454202
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-07-11 02:17:21,[3],0.9500000000000001,False,169,9024,52,1.2.0+86c25ac5d,780154,0.0041224537000000006
decredvoting.com,mainnet,2021-02-01,2023-07-11 02:17:21,[3],1,False,158,4101,27,1.2.0,780154,0.0038541285000000002
stakey.net,mainnet,2020-10-22,2023-07-11 02:17:21,[3],1,False,441,28196,204,1.2.1+dc5819e2d,780154,0.010757409
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-07-11 02:17:21,[3],0.6900000000000001,False,252,16749,204,1.2.0+86c25ac5d,1167143,0.053108536000000005
teststakepool.decred.org,testnet,2020-06-01,2023-07-11 02:17:21,[3],3,False,0,213765,1032,1.3.0-pre+de79ce74b,1167143,0
ultravsp.uk,mainnet,2020-12-01,2023-07-11 02:17:21,[3],0.30000000000000004,False,412,11398,59,1.2.1+ee0a6fa5b,780154,0.010050006
vsp.coinmine.pl,mainnet,2021-01-28,2023-07-11 02:17:21,[3],0.5,False,196,28081,172,1.2.0-pre+a06a62bfd,780154,0.0047810706
vsp.dcr.farm,mainnet,2020-12-09,2023-07-11 02:17:21,[3],0.9500000000000001,False,100,6632,41,1.2.0,780154,0.0024393220000000003
vsp.decredcommunity.org,mainnet,2020-11-05,2023-07-11 02:17:21,[3],0.49,False,476,8782,39,1.2.1+ee0a6fa5b,780154,0.011611172000000001
vsp.stakeminer.com,mainnet,2020-11-09,2023-07-11 02:17:22,[3],1,False,392,25274,149,1.2.0+1c02ba8b9,780154,0.009562141000000001
vspd.99split.com,mainnet,2020-11-17,2023-07-11 02:17:21,[3],0.30000000000000004,False,967,22970,107,1.2.1+ee0a6fa5b,780154,0.023588242000000002
vspd.bass.cf,mainnet,2022-05-01,2023-07-11 02:17:22,[3],0.2,False,525,9318,90,1.2.0,780154,0.01280644
vspd.decredbrasil.com,mainnet,2020-11-22,2023-07-11 02:17:21,[3],5,False,81,2381,19,1.2.1+ee0a6fa5b,780154,0.0019758507
