id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-07-05 02:22:55,[3],0.49,False,367,21461,160,1.2.0+86c25ac5d,778423,0.008748510000000001
big.decred.energy,mainnet,2022-05-01,2023-07-05 02:22:55,[3],0.49,False,261,2950,14,1.2.0,778423,0.006221692500000001
dcrhive.com,mainnet,2022-06-23,2023-07-05 02:22:55,[3],0.1,False,1891,6497,16,1.2.1+ee0a6fa5b,778423,0.045077473
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-07-05 02:22:55,[3],0.9500000000000001,False,173,8984,51,1.2.0+86c25ac5d,778423,0.004123957
decredvoting.com,mainnet,2021-02-01,2023-07-05 02:22:55,[3],1,False,128,4076,27,1.2.0,778423,0.0030512514
stakey.net,mainnet,2020-10-22,2023-07-05 02:22:55,[3],1,False,511,28095,204,1.2.0+9b98f1ad2,778423,0.012181168000000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-07-05 02:22:55,[3],0.6900000000000001,False,222,16111,203,1.2.0+86c25ac5d,1164278,0.042865418
teststakepool.decred.org,testnet,2020-06-01,2023-07-05 02:22:55,[3],3,False,0,213765,1032,1.1.1,1085710,0
ultravsp.uk,mainnet,2020-12-01,2023-07-05 02:22:55,[3],0.30000000000000004,False,466,11328,59,1.2.0+86c25ac5d,778423,0.011108463
vsp.coinmine.pl,mainnet,2021-01-28,2023-07-05 02:22:55,[3],0.5,False,211,28047,172,1.2.0-pre+a06a62bfd,778423,0.0050297976
vsp.dcr.farm,mainnet,2020-12-09,2023-07-05 02:22:55,[3],0.9500000000000001,False,104,6612,41,1.2.0,778423,0.0024791418
vsp.decredcommunity.org,mainnet,2020-11-05,2023-07-05 02:22:55,[3],0.49,False,502,8674,33,1.2.0+86c25ac5d,778423,0.011966627
vsp.stakeminer.com,mainnet,2020-11-09,2023-07-05 02:22:55,[3],1,False,429,25202,147,1.2.0+1c02ba8b9,778423,0.01022646
vspd.99split.com,mainnet,2020-11-17,2023-07-05 02:22:55,[3],0.30000000000000004,False,1003,22766,100,1.2.0+86c25ac5d,778423,0.023909416000000003
vspd.bass.cf,mainnet,2022-05-01,2023-07-05 02:22:55,[3],0.2,False,582,9185,88,1.2.0,778423,0.013873659000000002
vspd.decredbrasil.com,mainnet,2020-11-22,2023-07-05 02:22:55,[3],5,False,75,2360,18,1.2.0+86c25ac5d,778423,0.0017878427
