id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2023-12-02 01:41:04,[3],0.30000000000000004,False,232,4319,22,22,0,1.3.2,821862,0.0056822356
dcrhive.com,mainnet,2022-06-23,2023-12-02 01:41:04,[3],0.15,False,1250,13967,74,74,0,1.3.2+bec2d12a0,821862,0.030615494000000004
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-12-02 01:41:04,[3],0.9500000000000001,False,132,9955,62,61,1,1.3.1+22d04116b,821862,0.0032329962
decred.stake.fun,mainnet,2021-01-28,2023-12-02 01:41:04,[3],0.5,False,177,29210,175,173,2,1.3.1,821862,0.004335154
decredvoting.com,mainnet,2021-02-01,2023-12-02 01:41:04,[3],1,False,93,4653,32,31,1,1.3.2,821862,0.0022777927
stakey.net,mainnet,2020-10-22,2023-12-02 01:41:04,[3],1,False,329,30049,217,217,0,1.3.2+f79363a87,821862,0.008057998
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-12-02 01:41:04,[3],0.6900000000000001,False,727,62149,930,156,774,1.3.1+22d04116b,1268911,0.14146721
teststakepool.decred.org,testnet,2020-06-01,2023-12-02 01:41:04,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1268911,0
ultravsp.uk,mainnet,2020-12-01,2023-12-02 01:41:04,[3],0.30000000000000004,False,305,12770,79,78,1,1.4.0-pre+015cf707b,821862,0.0074701803
vote.dcr-swiss.ch,mainnet,2023-06-30,2023-12-02 01:41:04,[3],0.1,False,280,715,0,0,0,1.3.2+bec2d12a0,821862,0.0068578706000000005
vsp.dcr.farm,mainnet,2020-12-09,2023-12-02 01:41:04,[3],0.15,False,250,7624,44,42,2,1.3.1,821862,0.006123099000000001
vsp.decredcommunity.org,mainnet,2020-11-05,2023-12-02 01:41:04,[3],0.49,False,444,11458,51,51,0,1.3.2+bec2d12a0,821862,0.010874623
vsp.stakeminer.com,mainnet,2020-11-09,2023-12-02 01:41:04,[3],1,False,603,27815,172,172,0,1.3.1+1e824f8dd,821862,0.014768914000000001
vspd.99split.com,mainnet,2020-11-17,2023-12-02 01:41:04,[3],0.30000000000000004,False,562,26251,160,160,0,1.3.2,821862,0.013764726000000001
vspd.bass.cf,mainnet,2022-05-01,2023-12-02 01:41:04,[3],0.2,False,1127,14469,126,0,0,1.2.0,821862,0.02760293
vspd.decredbrasil.com,mainnet,2020-11-22,2023-12-02 01:41:05,[3],5,False,42,2721,20,20,0,1.3.2+bec2d12a0,821862,0.0010286806000000001
