id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2023-12-21 01:48:51,[3],0.30000000000000004,False,202,4459,22,22,0,1.3.2,827378,0.004925388
dcrhive.com,mainnet,2022-06-23,2023-12-21 01:48:51,[3],0.15,False,1212,14701,83,83,0,1.3.2+bec2d12a0,827378,0.029552326
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-12-21 01:48:51,[3],0.9500000000000001,False,123,10038,63,62,1,1.3.1+22d04116b,827378,0.0029991223
decred.stake.fun,mainnet,2021-01-28,2023-12-21 01:48:51,[3],0.5,False,124,29321,176,174,2,1.3.1,827377,0.0030232104000000003
decredvoting.com,mainnet,2021-02-01,2023-12-21 01:48:51,[3],1,False,113,4719,33,32,1,1.3.2,827378,0.002755291
stakey.net,mainnet,2020-10-22,2023-12-21 01:48:51,[3],1,False,300,30246,223,223,0,1.3.2+f79363a87,827377,0.007314218700000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-12-21 01:48:51,[3],0.6900000000000001,False,733,68773,944,170,774,1.3.1+22d04116b,1278226,0.1431361
teststakepool.decred.org,testnet,2020-06-01,2023-12-21 01:48:51,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1278226,0
ultravsp.uk,mainnet,2020-12-01,2023-12-21 01:48:51,[3],0.30000000000000004,False,253,12998,79,78,1,1.4.0-pre+015cf707b,827377,0.0061683245
vote.dcr-swiss.ch,mainnet,2023-06-30,2023-12-21 01:48:51,[3],0.1,False,352,927,0,0,0,1.3.2+bec2d12a0,827377,0.008582016000000001
vsp.dcr.farm,mainnet,2020-12-09,2023-12-21 01:48:51,[3],0.15,False,379,7778,44,42,2,1.3.1,827378,0.009241197000000001
vsp.decredcommunity.org,mainnet,2020-11-05,2023-12-21 01:48:51,[3],0.49,False,414,11762,55,55,0,1.3.2+bec2d12a0,827377,0.010093622
vsp.stakeminer.com,mainnet,2020-11-09,2023-12-21 01:48:51,[3],1,False,687,28260,173,173,0,1.3.1+1e824f8dd,827378,0.016751194
vspd.99split.com,mainnet,2020-11-17,2023-12-21 01:48:51,[3],0.30000000000000004,False,490,26603,166,166,0,1.3.2,827378,0.011947722000000001
vspd.bass.cf,mainnet,2022-05-01,2023-12-21 01:48:51,[3],0.2,False,1134,15243,132,0,0,1.2.0,827377,0.027647747
vspd.decredbrasil.com,mainnet,2020-11-22,2023-12-21 01:48:51,[3],5,False,32,2741,20,20,0,1.3.2+bec2d12a0,827377,0.0007801833599999999
