id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2023-12-18 01:48:09,[3],0.30000000000000004,False,212,4435,22,22,0,1.3.2,826479,0.0051972247
dcrhive.com,mainnet,2022-06-23,2023-12-18 01:48:09,[3],0.15,False,1179,14583,83,83,0,1.3.2+bec2d12a0,826479,0.028903434000000002
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-12-18 01:48:09,[3],0.9500000000000001,False,117,10022,63,62,1,1.3.1+22d04116b,826479,0.0028682798
decred.stake.fun,mainnet,2021-01-28,2023-12-18 01:48:09,[3],0.5,False,128,29306,176,174,2,1.3.1,826479,0.0031379470000000003
decredvoting.com,mainnet,2021-02-01,2023-12-18 01:48:09,[3],1,False,114,4704,33,32,1,1.3.2,826479,0.0027947342
stakey.net,mainnet,2020-10-22,2023-12-18 01:48:09,[3],1,False,303,30212,223,223,0,1.3.2+f79363a87,826479,0.0074281090000000004
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-12-18 01:48:09,[3],0.6900000000000001,False,741,66267,940,166,774,1.3.1+22d04116b,1274610,0.14475484
teststakepool.decred.org,testnet,2020-06-01,2023-12-18 01:48:09,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1274610,0
ultravsp.uk,mainnet,2020-12-01,2023-12-18 01:48:09,[3],0.30000000000000004,False,257,12962,79,78,1,1.4.0-pre+015cf707b,826479,0.0063004093
vote.dcr-swiss.ch,mainnet,2023-06-30,2023-12-18 01:48:09,[3],0.1,False,335,891,0,0,0,1.3.2+bec2d12a0,826479,0.008212596
vsp.dcr.farm,mainnet,2020-12-09,2023-12-18 01:48:09,[3],0.15,False,220,7751,44,42,2,1.3.1,826479,0.005393347000000001
vsp.decredcommunity.org,mainnet,2020-11-05,2023-12-18 01:48:09,[3],0.49,False,433,11713,54,54,0,1.3.2+bec2d12a0,826478,0.010613786
vsp.stakeminer.com,mainnet,2020-11-09,2023-12-18 01:48:09,[3],1,False,664,28181,173,173,0,1.3.1+1e824f8dd,826479,0.016278101
vspd.99split.com,mainnet,2020-11-17,2023-12-18 01:48:09,[3],0.30000000000000004,False,531,26545,166,166,0,1.3.2,826479,0.013017577
vspd.bass.cf,mainnet,2022-05-01,2023-12-18 01:48:09,[3],0.2,False,1119,15128,130,0,0,1.2.0,826479,0.027432522
vspd.decredbrasil.com,mainnet,2020-11-22,2023-12-18 01:48:09,[3],5,False,31,2739,20,20,0,1.3.2+bec2d12a0,826479,0.00075997156
