side,qty,rate,time
2,4.0,90466560,2024-11-20 02:18:01.600
2,0.4,89723540,2024-11-20 01:26:49.214
2,0.4,88869360,2024-11-20 01:26:48.958
2,4.0,88760280,2024-11-20 02:18:01.256
2,0.4,88015170,2024-11-20 01:26:48.642
2,0.4,87160990,2024-11-20 01:26:48.293
2,4.0,87054000,2024-11-20 02:18:00.961
2,0.4,86306810,2024-11-20 01:26:47.916
1,1.0,85420690,2024-11-19 05:34:06.382
1,0.4,84529590,2024-11-20 01:26:46.021
1,0.4,83675410,2024-11-20 01:26:46.471
1,0.1,83574140,2024-11-20 02:18:00.624
1,0.4,82821230,2024-11-20 01:26:46.785
1,0.4,81967040,2024-11-20 01:26:47.213
1,0.4,81112860,2024-11-20 01:26:47.519
