rank,useragent,count
1,/dcrwire:1.0.0/dcrd:1.7.1/,33
2,/dcrwire:1.0.0/dcrd:1.8.0(pre)/,21
3,/dcrwire:1.0.0/dcrd:1.7.5/,18
4,/dcrwire:1.0.0/dcrd:1.7.2/,17
5,/dcrwire:1.0.0/dcrd:1.7.0/,14
6,/dcrwire:1.0.0/dcrd:1.7.4/,6
7,/dcrwire:0.4.0/dcrd:1.6.0(pre)/,4
8,/dcrwire:0.3.0/dcrd:1.4.0/,3
9,/dcrwire:0.4.0/dcrd:1.5.1/,1
10,/dcrwire:0.4.0/dcrd:1.6.1/,1
11,/dcrwire:0.4.0/dcrd:1.6.2/,1
12,/dcrwire:0.4.0/dcrd:1.6.0/,1
