side,qty,rate,time
2,18.0,405500,2023-06-08 00:37:36.932
2,12.0,371700,2023-06-08 00:37:30.976
2,6.0,351400,2023-06-08 00:37:30.737
2,6.0,350100,2023-06-08 00:37:30.511
2,6.0,348700,2023-06-08 00:37:30.283
2,6.0,347400,2023-06-08 00:37:30.005
2,6.0,346000,2023-06-08 00:37:29.772
2,6.0,344700,2023-06-08 00:37:29.539
2,6.0,343300,2023-06-08 01:47:52.631
1,6.0,331100,2023-06-08 00:37:31.455
1,6.0,329800,2023-06-08 00:37:31.677
1,6.0,328400,2023-06-08 00:37:31.885
1,6.0,327100,2023-06-08 00:37:32.101
1,6.0,325700,2023-06-08 00:37:32.336
1,6.0,324400,2023-06-08 00:37:32.564
1,12.0,304100,2023-06-08 00:37:32.783
1,18.0,270300,2023-06-08 00:37:32.999
