baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,35000,0,-0.002849002849002849,360,35300,35000,5917.8502561737605,2024-02-10 01:38:40.039
doge,btc,0,0,0.0,0,0,0,0.0,2024-02-10 01:38:36.021
dgb,btc,28,0,0.0,0,28,28,0.0,2024-02-10 01:38:36.021
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2024-02-10 01:38:36.018
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2024-02-10 01:38:37.051
eth,btc,699000,0,0.0,0,699000,699000,0.0,2024-02-10 01:38:37.062
dcr,ltc,20800000,0,0.0,0,20800000,20800000,0.0,2024-02-10 01:38:37.062
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2024-02-10 01:38:40.050
