id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-06-03 01:52:48,[3],0.30000000000000004,False,278,6156,40,38,2,1.3.2,875066,0.0067704148
dcrhive.com,mainnet,2022-06-23,2024-06-03 01:52:48,[3],0.15,False,885,20966,119,119,0,1.3.2+bec2d12a0,875066,0.021553298000000002
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-06-03 01:52:48,[3],0.9500000000000001,False,461,11823,69,68,1,1.3.2+bec2d12a0,875066,0.011227199
decred.stake.fun,mainnet,2021-01-28,2024-06-03 01:52:48,[3],0.5,False,110,29979,183,181,2,1.3.1,875066,0.0026789410000000002
decredvoting.com,mainnet,2021-02-01,2024-06-03 01:52:48,[3],1,False,82,5547,37,36,1,1.3.2,875066,0.0019970287
stakey.net,mainnet,2020-10-22,2024-06-03 01:52:48,[3],1,False,241,31459,240,240,0,1.3.2+f79363a87,875066,0.0058693164
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-06-03 01:52:48,[3],0.6900000000000001,False,251,133344,1141,327,814,1.3.1+22d04116b,1400029,0.051731244
teststakepool.decred.org,testnet,2020-06-01,2024-06-03 01:52:48,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1400029,0
ultravsp.uk,mainnet,2020-12-01,2024-06-03 01:52:48,[3],0.30000000000000004,False,212,14642,84,83,1,1.4.0-pre+015cf707b,875066,0.0051630503
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-06-03 01:52:48,[3],0.1,False,892,5641,17,17,0,1.3.2+bec2d12a0,875066,0.021723777
vsp.dcr.farm,mainnet,2020-12-09,2024-06-02 05:59:19,[3],1,False,47,8505,54,52,2,1.3.1,874824,0.0011493972
vsp.decredcommunity.org,mainnet,2020-11-05,2024-06-03 01:52:48,[3],0.49,False,320,14328,80,80,0,1.3.2+bec2d12a0,875066,0.007793283000000001
vsp.stakeminer.com,mainnet,2020-11-09,2024-06-03 01:52:48,[3],1,False,320,31065,191,191,0,1.3.2+81acb861c,875066,0.007793283000000001
vspd.99split.com,mainnet,2020-11-17,2024-06-03 01:52:48,[3],0.30000000000000004,False,150,28009,185,185,0,1.3.2,875066,0.0036531014000000003
vspd.bass.cf,mainnet,2022-05-01,2024-06-03 01:52:49,[3],0.2,False,839,20632,173,0,0,1.2.0,875066,0.020433014000000003
vspd.decredbrasil.com,mainnet,2020-11-22,2024-06-03 01:52:48,[3],5,False,25,2923,23,23,0,1.3.2,875066,0.00060885027
