rank,useragent,count
1,/dcrwire:1.0.0/dcrd:1.8.0/,108
2,/dcrwire:1.0.0/dcrd:1.7.5/,13
3,/dcrwire:1.0.0/dcrd:1.7.7/,11
4,/dcrwire:1.0.0/dcrd:1.7.2/,9
5,/dcrwire:1.0.0/dcrd:1.7.1/,8
6,/dcrwire:1.0.0/dcrd:1.7.0/,6
7,/dcrwire:1.0.0/dcrd:1.8.0(pre)/,6
8,/dcrwire:0.3.0/dcrd:1.4.0/,2
9,/dcrwire:0.4.0/dcrd:1.6.0(pre)/,2
10,/dcrwire:0.4.0/dcrd:1.6.0(rc4)/,1
11,/dcrwire:0.4.0/dcrd:1.6.2/,1
12,/dcrwire:1.0.0/dcrd:1.7.4/,1
13,/dcrwire:0.4.0/dcrd:1.6.0/,1
14,/dcrwire:0.4.0/dcrd:1.5.1/,1
15,/dcrwire:0.4.0/dcrd:1.6.1/,1
