rank,useragent,count
1,/dcrwire:1.0.0/dcrd:1.7.7/,40
2,/dcrwire:1.0.0/dcrd:1.7.1/,30
3,/dcrwire:1.0.0/dcrd:1.7.5/,27
4,/dcrwire:1.0.0/dcrd:1.7.2/,14
5,/dcrwire:1.0.0/dcrd:1.8.0/,10
6,/dcrwire:1.0.0/dcrd:1.8.0(pre)/,9
7,/dcrwire:1.0.0/dcrd:1.7.0/,7
8,/dcrwire:0.3.0/dcrd:1.4.0/,3
9,/dcrwire:1.0.0/dcrd:1.7.4/,3
10,/dcrwire:0.4.0/dcrd:1.6.0(pre)/,2
11,/dcrwire:0.4.0/dcrd:1.6.2/,2
12,/dcrwire:0.4.0/dcrd:1.6.0(rc4)/,1
13,/dcrwire:0.4.0/dcrd:1.6.0/,1
14,/dcrwire:0.4.0/dcrd:1.6.1/,1
15,/dcrwire:0.4.0/dcrd:1.5.1/,1
