id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2023-11-15 01:47:28,[3],0.30000000000000004,False,226,4192,21,21,0,1.3.1,817141,0.005541525
dcrhive.com,mainnet,2022-06-23,2023-11-15 01:47:28,[3],0.15,False,1257,13251,57,57,0,1.3.0-pre+a254e943f,817141,0.030821666
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-11-15 01:47:28,[3],0.9500000000000001,False,153,9884,60,59,1,1.3.1+22d04116b,817141,0.0037515631000000003
decred.stake.fun,mainnet,2021-01-28,2023-11-15 01:47:28,[3],0.5,False,206,29088,175,173,2,1.3.1,817141,0.0050511244
decredvoting.com,mainnet,2021-02-01,2023-11-15 01:47:28,[3],1,False,99,4604,31,30,1,1.3.1,817141,0.0024274820000000003
stakey.net,mainnet,2020-10-22,2023-11-15 01:47:28,[3],1,False,375,29847,216,216,0,1.3.1+209042951,817141,0.009195007
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-11-15 01:47:28,[3],0.6900000000000001,False,742,54060,909,136,773,1.3.1+22d04116b,1257307,0.14557584
teststakepool.decred.org,testnet,2020-06-01,2023-11-15 01:47:28,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1257307,0
ultravsp.uk,mainnet,2020-12-01,2023-11-15 01:47:28,[3],0.30000000000000004,False,320,12577,79,78,1,1.4.0-pre+015cf707b,817141,0.007846407
vote.dcr-swiss.ch,mainnet,2023-06-30,2023-11-15 01:47:28,[3],0.25,False,270,560,0,0,0,1.3.0+43d3210dc,817141,0.0066204057
vsp.dcr.farm,mainnet,2020-12-09,2023-11-15 01:47:28,[3],0.15,False,261,7455,43,42,1,1.3.1,817141,0.0063997256
vsp.decredcommunity.org,mainnet,2020-11-05,2023-11-15 01:47:28,[3],0.49,False,424,11208,49,49,0,1.3.0+43d3210dc,817141,0.010396489
vsp.stakeminer.com,mainnet,2020-11-09,2023-11-15 01:47:28,[3],1,False,697,27447,169,169,0,1.3.1+1e824f8dd,817141,0.017090455
vspd.99split.com,mainnet,2020-11-17,2023-11-15 01:47:28,[3],0.30000000000000004,False,452,25956,160,160,0,1.3.1+22d04116b,817141,0.01108305
vspd.bass.cf,mainnet,2022-05-01,2023-11-15 01:47:28,[3],0.2,False,1118,13824,121,0,0,1.2.0,817141,0.027413383000000003
vspd.decredbrasil.com,mainnet,2020-11-22,2023-11-15 01:47:28,[3],5,False,45,2693,20,20,0,1.3.1+22d04116b,817141,0.0011034010000000002
