,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.12.name,features.12.is_required,features.12.is_known,features.14.name,features.14.is_required,features.14.is_known,features.17.name,features.17.is_required,features.17.is_known,features.31.name,features.31.is_required,features.31.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.45.name,features.45.is_required,features.45.is_known,outCount,outCapacity,inCount,inCapacity,chCount
7,1690244861,021474ecc68856869b5736a35eec53233dc56623a15262aa56275ca4687fa7b093,021474ecc68856869b57,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,20000000.0,0.0,0.0,2.0
3,1687470076,020a7c1d99fb2200aa095f6ff0f7ef6563e632c67d1e8d90e46c8683b314561074,020a7c1d99fb2200aa09,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,40000000.0,0.0,0.0,2.0
2,1694578634,020a5763dfbe258647c8e27ade38a64082e58c2e1652182cee0e0425d5df2b7100,020a5763dfbe258647c8,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,20000000.0,0.0,0.0,2.0
73,1684866550,0290bd984dd8e6a99e30a392f949c4d0c40960407e685887ee7c5f75b0e36de8a8,0290bd984dd8e6a99e30,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,2000000.0,0.0,0.0,2.0
48,1698702583,025fa6090fa03e61471f8cc32661ac259645cf99f062de3ac914dc5e6b7c7964f6,025fa6090fa03e61471f,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,110000000.0,0.0,0.0,2.0
89,1711103000,02c22d08177dd355ae4d91ae7588b5b1d4f57d3fdf0a67cb4a7e97fcbd8d3b7f08,02c22d08177dd355ae4d,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,2.0,10000000.0,0.0,0.0,2.0
92,1711540786,02c502b5a0f3345f22f660ffce1a925f23a0ec7e08261e5413e93a88b911342ecc,02c502b5a0f3345f22f6,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,,,,2.0,217000000.0,0.0,0.0,2.0
80,1711728584,02a8ab29bfe954e1471311644e0aca2a14f29766d0c11611583944302a11adb435,02a8ab29bfe954e14713,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,unknown,False,False,,,,,,,,,,2.0,250000000.0,0.0,0.0,2.0
88,1678088337,02c20e99b3b86b72c5f6601ca47980ff3dce794175802be6c4a45177b815a36520,02c20e99b3b86b72c5f6,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,20000000.0,0.0,0.0,2.0
82,1682609370,02ac19987b4f12f144dafb7a42a287196a49e3cfa7b7eee1e4503d4e752f694a1d,02ac19987b4f12f144da,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,static-remote-key,False,True,payment-addr,False,True,,,,2.0,197919330.0,0.0,0.0,2.0
