baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,15240,0,0.0006565988181221273,400.0,15270,15170,5702.06283451588,2025-04-27 01:32:00.020
btc,usdt.polygon,93567490000,0,0.0,0.0,93567490000,93567490000,0.0,2025-04-27 01:32:00.018
ltc,usdt.polygon,82301880,0,0.0,0.0,82301880,82301880,0.0,2025-04-27 01:32:00.020
firo,usdc.polygon,449875,0,0.0,0.0,449875,449875,0.0,2025-04-27 01:32:00.020
dcr,polygon,56288449730,0,-0.17286089339152141,0.1,68051974910,56288449730,1.42551570862897,2025-04-27 01:32:00.020
dcr,usdt.polygon,13900000,0,-0.0134847409510291,11.3,14140610,13900000,161.0832750750736,2025-04-27 01:32:00.744
dcr,usdc.polygon,11863880,0,0.0,0.0,11863880,11863880,0.0,2025-04-27 01:32:00.331
usdc.polygon,usdt.polygon,100685010,0,0.0,0.0,100685010,100685010,0.0,2025-04-27 01:32:00.020
