pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
okx.com,https://www.okx.com/pool,0,-1,-1,23,PPLNS,0,0,0,0,630904,0,0,0,73,0,1196184523.8095238,168,0,0
coinmine.pl,https://www2.coinmine.pl/dcr,311772168151668,-1,0.05,5,PPLNS,26,0,0,5,740249,1677031014,11,1,73,0,247478855645833.47,168,0.39,0.613331918620828
pool.btc.com,https://pool.btc.com,2798000000000000,-1,0.1,4,PPS,72,3.0921447612525002e-15,14894,10,739995,1676961116,29,0,73,0,2729984314952381,168,3.81,0
poolin.com,https://www.poolin.com,30661000000000000,-1,0.01,3,PPS,1433,3.86802e-15,0,19,740255,1677031723,473,54,73,0,32346273584999996,168,48.13,5.86981466830008
f2pool.com,https://www.f2pool.com,33718924404740132,-1,0.1,14,PPS%3,0,3.652540294019422e-15,0,7,740256,1677031836,336,42,73,0,39340636560654776,168,47.87,-5.86981466830008
antpool.com,https://antpool.com,2910000000000000,-1,0.1,28,PPS%3,0,0,0,50,740240,1677027370,16,1,73,0,2001098963150943,159,3.83,-2.827792270085147
