side,qty,rate,time
2,160.0,195000,2023-08-19 13:11:39.531
2,40.0,194000,2023-08-20 15:06:27.835
2,360.0,80000,2023-08-18 10:03:21.239
2,280.0,75000,2023-08-18 10:03:09.721
2,280.0,70000,2023-08-18 10:02:54.721
2,40.0,58000,2023-08-20 12:43:54.861
2,40.0,54200,2023-08-24 01:37:03.824
2,320.0,53700,2023-08-24 00:25:23.691
2,200.0,52500,2023-08-24 00:25:23.047
2,80.0,52000,2023-08-24 00:25:22.386
2,40.0,51200,2023-08-24 00:25:21.759
2,40.0,51000,2023-08-21 03:37:25.487
2,40.0,51000,2023-08-23 17:50:42.218
2,40.0,50800,2023-08-23 17:50:41.995
2,40.0,50600,2023-08-23 17:50:41.781
2,40.0,50500,2023-08-23 22:03:21.797
2,40.0,50400,2023-08-23 17:50:41.545
2,40.0,50300,2023-08-24 00:25:21.126
2,40.0,50200,2023-08-23 17:50:41.286
2,40.0,50000,2023-08-23 22:03:11.081
2,40.0,49800,2023-08-24 01:39:40.936
2,40.0,49800,2023-08-24 01:39:31.427
1,40.0,48100,2023-08-24 01:34:21.784
1,40.0,48000,2023-08-24 01:27:41.132
1,40.0,47900,2023-08-24 00:50:11.471
1,40.0,47800,2023-08-23 22:03:25.132
1,40.0,47800,2023-08-24 00:50:10.761
1,40.0,47600,2023-08-24 00:25:24.614
1,40.0,47600,2023-08-23 16:55:23.767
1,40.0,47400,2023-08-23 16:55:24.086
1,40.0,47200,2023-08-23 17:50:42.958
1,40.0,47000,2023-08-23 17:50:43.209
1,40.0,46400,2023-08-24 00:25:25.040
1,40.0,45400,2023-08-24 00:25:25.481
1,400.0,45000,2023-08-22 06:45:17.088
1,40.0,44800,2023-08-19 05:26:01.392
1,40.0,43600,2023-08-24 01:37:03.386
1,120.0,40000,2023-08-17 21:46:15.072
1,40.0,30000,2023-08-20 14:33:27.489
1,400.0,10100,2023-08-22 18:34:05.866
1,120.0,10000,2023-08-20 14:31:11.489
1,4000.0,300,2023-08-17 21:46:01.842
1,4000.0,200,2023-08-17 21:45:57.457
1,30000.0,100,2023-08-17 21:45:50.219
