side,qty,rate,time
2,160.0,195000,2023-08-17 12:20:10.309
2,40.0,53900,2023-08-18 01:32:51.850
2,320.0,53200,2023-08-18 01:31:04.911
2,200.0,52000,2023-08-18 01:31:04.261
2,80.0,51500,2023-08-18 01:31:03.660
2,40.0,50800,2023-08-18 01:31:03.024
2,40.0,50200,2023-08-18 01:12:42.270
2,40.0,50100,2023-08-18 01:31:02.389
2,40.0,50000,2023-08-18 01:12:42.070
2,40.0,49900,2023-08-18 01:12:43.271
2,40.0,49800,2023-08-18 01:12:41.848
2,40.0,49600,2023-08-18 01:12:41.640
2,40.0,49400,2023-08-18 01:39:11.306
2,40.0,49400,2023-08-18 01:12:41.405
1,40.0,47500,2023-08-18 01:35:21.578
1,40.0,47500,2023-08-18 01:39:10.661
1,40.0,47400,2023-08-18 01:30:01.496
1,40.0,47300,2023-08-18 01:29:50.663
1,40.0,47200,2023-08-18 01:07:51.357
1,40.0,47100,2023-08-18 01:12:42.592
1,40.0,46900,2023-08-18 01:12:42.851
1,40.0,46700,2023-08-18 01:12:43.122
1,40.0,46500,2023-08-18 01:12:43.400
1,40.0,46300,2023-08-18 01:12:43.665
1,40.0,46000,2023-08-18 01:31:05.763
1,40.0,45000,2023-08-18 01:31:06.196
1,40.0,42900,2023-08-18 01:32:51.424
1,120.0,40000,2023-08-17 21:46:15.072
1,4000.0,300,2023-08-17 21:46:01.842
1,4000.0,200,2023-08-17 21:45:57.457
1,30000.0,100,2023-08-17 21:45:50.219
1,49360.0,100,2023-08-17 21:51:28.069
