side,qty,rate,time
2,40.0,25000,2024-07-02 17:00:36.418
2,40.0,24500,2024-07-02 16:59:07.029
2,40.0,24000,2024-07-12 18:36:18.339
2,80.0,23500,2024-07-12 04:31:00.798
2,120.0,23000,2024-07-14 22:45:41.404
2,40.0,22700,2024-07-16 19:00:00.665
2,200.0,22500,2024-07-16 09:13:10.857
2,40.0,22300,2024-07-17 01:19:41.447
2,40.0,22200,2024-07-17 01:59:20.946
2,40.0,22200,2024-07-17 01:59:42.000
2,40.0,22100,2024-07-17 01:19:40.978
1,40.0,20900,2024-07-17 01:58:32.882
1,40.0,20800,2024-07-17 01:18:01.382
1,40.0,20700,2024-07-17 01:21:02.202
1,40.0,20600,2024-07-17 01:21:02.621
1,40.0,20600,2024-07-16 19:00:01.082
1,1000.0,12500,2024-07-04 14:45:02.471
1,1000.0,10000,2024-06-02 15:49:59.634
1,2000.0,3000,2024-06-02 15:49:48.994
1,2000.0,2000,2024-06-02 15:49:41.537
1,2000.0,1000,2024-06-02 15:49:38.244
1,6000.0,300,2024-06-02 15:49:27.230
1,8000.0,200,2024-06-02 15:49:20.655
1,30000.0,100,2024-06-02 15:49:12.912
