baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,42900,0,0.0412621359223301,240,42900,41200,3623.5899595115043,2023-11-08 01:45:00.191
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-11-08 01:45:06.027
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-11-08 01:45:06.027
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-11-08 01:45:06.015
doge,btc,0,0,0.0,0,0,0,0.0,2023-11-08 01:45:06.024
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-11-08 01:45:04.025
dcr,ltc,15849000,0,0.0,0,15849000,15849000,0.0,2023-11-08 01:45:06.027
dgb,btc,28,0,0.0,0,28,28,0.0,2023-11-08 01:45:06.027
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2023-11-08 01:45:04.028
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-11-08 01:45:06.012
