baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,35700,0,0,0,35700,35700,0.0,2023-11-15 01:51:40.018
eth,btc,699000,0,0,0,699000,699000,0.0,2023-11-15 01:51:38.017
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,0.0,2023-11-15 01:51:38.014
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,0.0,2023-11-15 01:51:42.010
doge,btc,0,0,0,0,0,0,0.0,2023-11-15 01:51:42.013
zec,btc,125300,0,0,0,125300,125300,0.0,2023-11-15 01:51:36.023
dcr,ltc,15849000,0,0,0,15849000,15849000,0.0,2023-11-15 01:51:38.020
dgb,btc,28,0,0,0,28,28,0.0,2023-11-15 01:51:42.017
ltc,btc,245900,0,0,0,245900,245900,0.0,2023-11-15 01:51:36.032
zec,usdc.eth,0,0,0,0,0,0,0.0,2023-11-15 01:51:38.011
