id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-09-11 01:39:58,[3],0.49,False,301,22191,170,1.2.0+86c25ac5d,798152,0.007065396000000001
big.decred.energy,mainnet,2022-05-01,2023-09-11 01:39:58,[3],0.30000000000000004,False,386,3486,18,1.2.0,798152,0.009060607
dcrhive.com,mainnet,2022-06-23,2023-09-11 01:39:58,[3],0.666,False,1306,10530,35,1.2.1+ee0a6fa5b,798152,0.030655839
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-09-11 01:39:58,[3],0.9500000000000001,False,218,9455,57,1.2.0+86c25ac5d,798152,0.0051171305
decredvoting.com,mainnet,2021-02-01,2023-09-11 01:39:58,[3],1,False,134,4374,29,1.2.0,798152,0.0031453923
stakey.net,mainnet,2020-10-22,2023-09-11 01:39:58,[3],1,False,271,28887,211,1.2.1+dc5819e2d,798152,0.0063612037
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-09-11 01:39:58,[3],0.6900000000000001,False,473,32369,243,1.2.0+86c25ac5d,1210510,0.09276329
teststakepool.decred.org,testnet,2020-06-01,2023-09-11 01:39:58,[3],3,False,0,213768,1032,1.3.0-pre+de79ce74b,1210510,0
ultravsp.uk,mainnet,2020-12-01,2023-09-11 01:39:58,[3],0.30000000000000004,False,263,11967,68,1.2.1+ee0a6fa5b,798152,0.0061734193
vote.dcr-swiss.ch,mainnet,2023-06-30,2023-09-11 01:39:58,[3],0.25,False,54,17,0,1.2.1+ee0a6fa5b,798152,0.0012675461
vsp.coinmine.pl,mainnet,2021-01-28,2023-09-11 01:39:58,[3],0.5,False,186,28493,173,1.2.0-pre+a06a62bfd,798152,0.0043659923000000005
vsp.dcr.farm,mainnet,2020-12-09,2023-09-11 01:39:58,[3],0.9500000000000001,False,252,6994,41,1.2.1,798152,0.005915215200000001
vsp.decredcommunity.org,mainnet,2020-11-05,2023-09-11 01:39:58,[3],0.49,False,829,9860,44,1.2.1+ee0a6fa5b,798152,0.01945918
vsp.stakeminer.com,mainnet,2020-11-09,2023-09-11 01:39:58,[3],1,False,537,26092,160,1.2.0+1c02ba8b9,798152,0.012605042
vspd.99split.com,mainnet,2020-11-17,2023-09-11 01:39:58,[3],0.30000000000000004,False,677,24787,135,1.2.1+ee0a6fa5b,798152,0.015891273
vspd.bass.cf,mainnet,2022-05-01,2023-09-11 01:39:58,[3],0.2,False,1160,11032,96,1.2.0,798152,0.027228769000000003
vspd.decredbrasil.com,mainnet,2020-11-22,2023-09-11 01:39:58,[3],5,False,73,2557,20,1.2.1+ee0a6fa5b,798152,0.0017135346
