side,qty,rate,time
2,80.0,10000000,2025-07-05 16:50:23.221
2,160.0,30000,2025-06-17 02:48:03.196
2,480.0,29990,2025-06-01 18:42:47.285
2,200.0,19990,2025-06-01 18:43:08.308
2,320.0,14500,2025-07-14 18:20:08.732
2,40.0,14440,2025-07-19 01:25:16.455
2,40.0,14370,2025-07-19 01:25:16.248
2,40.0,14310,2025-07-19 01:20:30.636
1,40.0,13990,2025-07-19 01:31:17.213
1,40.0,13790,2025-07-19 01:25:15.988
1,440.0,10140,2025-07-04 06:03:17.659
1,1000.0,10000,2025-06-01 18:42:21.355
1,2000.0,2000,2025-06-01 18:42:11.244
1,20000.0,590,2025-06-01 18:41:56.772
