side,qty,rate,time
2,1.0,106797900,2025-02-13 00:09:38.778
2,1.0,106297920,2025-02-13 00:09:38.297
2,1.0,105797930,2025-02-13 00:09:37.714
2,1.0,105297940,2025-02-13 00:09:37.241
2,1.0,104797950,2025-02-13 00:09:36.699
2,1.0,104297970,2025-02-13 00:09:36.251
2,1.0,103797980,2025-02-13 00:09:35.681
2,1.0,103297990,2025-02-13 00:09:35.125
2,1.0,102798000,2025-02-13 00:09:34.647
2,1.0,102298020,2025-02-13 00:09:34.013
2,500.0,100695180,2025-02-13 01:21:47.721
1,500.0,99295180,2025-02-13 01:21:45.974
1,1.0,97696940,2025-02-13 00:09:31.336
1,1.0,97196960,2025-02-13 00:09:31.976
1,1.0,96696970,2025-02-13 00:09:32.437
1,1.0,96196980,2025-02-13 00:09:32.905
