,pool,rate,units
0,coinmine.pl,0.69989,PH/s
1,viabtc.net,0.0,PH/s
2,antpool.com,3.2,PH/s
3,f2pool.com,16.97,PH/s
4,poolin.me,26.64,PH/s
5,pool.btc.com,4.41,PH/s
