pool,rate,units
coinmine.pl,0.7153400000000001,PH/s
viabtc.net,0.0,PH/s
antpool.com,3.25,PH/s
f2pool.com,16.91,PH/s
poolin.me,29.63,PH/s
pool.btc.com,4.23,PH/s
