id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-05-26 02:00:20,[3],0.49,False,376,21027,140,1.1.0,766947,0.008801704
big.decred.energy,mainnet,2022-05-01,2023-05-26 02:00:25,[3],0.49,False,236,2589,10,1.1.1,766947,0.0055244737
dcrhive.com,mainnet,2022-06-23,2023-05-26 02:00:20,[3],0.1,False,1270,4657,6,1.1.1,766947,0.02972916
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-05-26 02:00:20,[3],0.9500000000000001,False,264,8685,49,1.1.1,766947,0.00617992
decredvoting.com,mainnet,2021-02-01,2023-05-26 02:00:26,[3],1,False,101,3963,25,1.1.1,766947,0.0023642876000000003
stakey.net,mainnet,2020-10-22,2023-05-26 02:00:25,[3],1,False,359,27576,198,1.1.1,766947,0.008403755
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-05-26 02:00:20,[3],0.6900000000000001,False,174,11939,78,1.2.0-pre+824c41c2a,1142532,0.034730540000000004
teststakepool.decred.org,testnet,2020-06-01,2023-05-26 02:00:20,[3],3,False,0,213765,1032,1.1.1,1085710,0
ultravsp.uk,mainnet,2020-12-01,2023-05-26 02:00:20,[3],0.30000000000000004,False,361,10669,55,1.1.1,766947,0.008450572
vsp.coinmine.pl,mainnet,2021-01-28,2023-05-26 02:00:20,[3],0.5,False,181,27824,171,1.1.1,766947,0.004236990600000001
vsp.dcr.farm,mainnet,2020-12-09,2023-05-26 02:00:20,[3],0.9500000000000001,False,87,6455,40,1.1.1,766947,0.0020365645
vsp.decredcommunity.org,mainnet,2020-11-05,2023-05-26 02:00:25,[3],0.49,False,408,8106,29,1.1.1,766947,0.009550786
vsp.stakeminer.com,mainnet,2020-11-09,2023-05-26 02:00:21,[3],1,False,550,24563,138,1.1.1,766947,0.012874833
vspd.99split.com,mainnet,2020-11-17,2023-05-26 01:54:55,[3],0.30000000000000004,False,2355,20649,80,1.1.1,766945,0.055126406
vspd.bass.cf,mainnet,2022-05-01,2023-05-26 02:00:26,[3],0.2,False,862,8116,67,1.1.1,766947,0.020178376
vspd.decredbrasil.com,mainnet,2020-11-22,2023-05-26 01:55:00,[3],5,False,74,2249,16,1.1.1,766945,0.0017322097
